City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Richards Bay,ZA,76.8,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
505,Melo,UY,50.23,overcast clouds,-32.3667,-54.1833,Hotel Juana
506,Kamaishi,JP,56.17,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
509,Motril,ES,67.82,scattered clouds,36.7507,-3.5179,Hostal Tropical
516,Sao Lourenco Do Sul,BR,57.25,overcast clouds,-31.3653,-51.9783,Hotel Pousada Verde Água
517,Wagga Wagga,AU,50.59,overcast clouds,-35.1167,147.3667,The Club Motel and Apartments
518,Lucapa,AO,70.02,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
519,Gamba,GA,76.42,overcast clouds,-2.65,10.0,
523,Tuatapere,NZ,57.36,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
524,Niquelandia,BR,79.36,broken clouds,-14.4739,-48.4597,Hotel Suinã
528,Syracuse,IT,58.62,clear sky,37.0881,15.2792,Hotel Posta
530,Praia Da Vitoria,PT,66.45,few clouds,38.7333,-27.0667,Hotel Branco I
531,Bluefield,US,74.7,clear sky,37.2698,-81.2223,Economy Inn
532,Lata,PT,61.92,broken clouds,40.1629,-8.3327,Casa Maquia
534,Peddapuram,IN,75.4,heavy intensity rain,17.0833,82.1333,"కొండపు కొజ్జాబాబు, వీరబాబు"
535,Cizre,TR,76.51,scattered clouds,37.3272,42.1903,Divan Otel Cizre / Şırnak
536,Pierre,US,58.05,few clouds,44.3683,-100.351,Ramkota Hotel
539,Rajpura,IN,72.84,clear sky,30.4831,76.595,Royal Residency
540,Ponta Delgada,PT,68.72,few clouds,37.7333,-25.6667,Vila Nova Hotel
544,Luzhou,CN,56.57,light rain,28.8724,105.4405,Shijichun Hotel
547,Port Macquarie,AU,69.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
549,Saint-Joseph,RE,71.98,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
554,Muisne,EC,78.91,overcast clouds,0.6,-80.0333,Quinta Samay
555,Caravelas,BR,76.89,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
556,Kawalu,ID,72.3,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
561,Changde,CN,56.52,overcast clouds,29.0464,111.6783,Kangshida Hotel
562,Abu Samrah,SY,68.31,clear sky,35.3029,37.1841,
563,Doka,SD,75.15,clear sky,13.5167,35.7667,
565,Vao,NC,71.46,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
566,Broken Hill,AU,53.31,clear sky,-31.95,141.4333,Royal Exchange Hotel
567,Ilo,PE,60.71,scattered clouds,-17.6394,-71.3375,Torreblanca Hotel
